2 12
0 0 0 0 11 10
0 0 0 10 1 1
0 0 0 10 11 9
0 0 0 10 5 9
0 0 0 11 0 5
0 0 0 7 0 5
0 0 0 9 0 5
0 0 0 9 11 9
0 0 0 9 6 9
0 0 1 0 0 11
0 0 10 0 10 11
0 0 10 0 11 2
0 0 10 0 9 11
0 0 11 0 0 10
0 0 5 1 0 1
0 0 5 10 0 6
0 0 5 11 0 6
0 0 5 7 0 1
0 0 6 11 1 1
0 0 9 11 1 11
0 0 9 11 11 11
0 0 9 11 6 11
0 0 9 2 1 7
0 0 9 2 11 2
0 0 9 2 9 2
0 10 0 0 0 4
0 10 0 0 2 5
0 10 0 0 4 10
0 10 4 0 0 3
0 11 0 0 0 4
0 11 10 0 3 2
0 11 5 0 2 2
0 2 10 0 2 2
0 2 4 0 3 2
0 2 5 0 2 2
0 5 0 0 2 5
0 5 0 0 4 10
0 5 7 2 7 11
0 9 11 10 1 9
0 9 11 11 1 9
1 0 0 3 0 1
1 0 0 7 0 1
1 0 5 7 0 1
1 0 7 1 1 1
1 0 7 3 0 1
10 1 11 2 1 1
10 11 11 2 2 2
10 11 9 2 1 2
10 5 10 4 3 1
11 0 0 0 0 3
11 1 7 1 1 1
11 1 7 1 7 1
2 2 3 0 0 2
3 2 0 0 0 3
3 3 0 0 0 3
4 2 0 0 0 3
4 2 3 0 0 2
4 3 0 0 0 3
5 0 0 3 0 1
5 0 0 7 0 1
5 0 0 7 5 1
6 0 1 3 0 7
6 0 1 7 1 7
6 0 1 7 5 7
7 0 0 0 0 3
7 0 1 1 1 7
7 0 1 3 0 7
7 5 7 3 3 1
9 0 1 1 7 7
9 0 6 1 1 7
9 11 9 2 1 2
9 6 11 2 7 1
